tconst	averageRating	numVotes
tt13316790	6.1	1172
tt13317320	6.5	672
tt13320622	6.1	86401
tt13322796	4.8	5
tt13328800	7.3	467
tt13330168	6.5	69
tt13332268	7.1	375
tt13334870	6.6	2162
tt13342558	2.8	155
tt13345930	8.2	13
tt13347018	2.2	126
tt13349280	5.9	704
tt13349678	5.4	12
tt13349892	7.4	39
tt13350066	6.2	347
tt13350858	4.3	390
tt13352968	7.2	10303
tt13353370	7.9	1334
tt13356020	7.8	13
tt13356758	6.0	41
tt13357236	6.1	129
tt13358054	5.8	332
tt13360908	6.2	6
tt13361814	5.5	91
tt13362890	4.1	818
tt13364468	6.2	10607
tt13368192	5.8	18
tt13371942	6.5	148
tt13374994	6.9	7
tt13378056	4.3	176
tt13387818	6.8	13
tt13391708	6.7	70
tt13391710	8.3	10191
tt13393058	5.4	252
tt13393128	7.0	63
tt13394304	5.0	242
tt13399946	7.0	856
tt13403046	6.7	45539
tt13404734	7.4	108
tt13404996	8.2	5
tt13406136	5.5	9475
tt13408950	4.9	40
tt13409590	8.0	21
tt13431950	7.6	14
tt13434562	6.3	9
tt13434790	6.7	33
tt13434866	4.5	865
tt13436216	7.0	13
tt13439744	5.8	4277
tt13446128	7.5	54
tt13449566	9.4	72
tt13449624	7.0	33914
tt13453138	6.8	58
tt13456316	7.6	112
tt13456318	5.6	17794
tt13458764	7.4	71
tt13459376	6.7	674
tt13460190	6.2	720
tt13466166	7.6	3039
tt13468976	5.3	9237
tt13470278	7.1	1282
tt13471738	7.1	337
tt13475220	8.3	9
tt13479592	5.3	1050
tt13479740	6.8	6
tt13479822	3.2	1068
tt13482828	6.9	97
tt13483866	7.3	72
tt13487922	2.8	897
tt13496136	6.9	8
tt13498862	8.1	10
tt13515090	6.0	132
tt13515538	2.8	60
tt13516976	4.5	32
tt13518808	6.1	16
tt13528560	9.6	24
tt13528564	7.8	4755
tt13528840	8.3	16
tt13531468	7.4	877
tt13534808	7.1	5759
tt13535230	4.2	73
tt13535920	6.8	458
tt13540260	5.0	72
tt13540374	5.3	7
tt13540506	6.8	13
tt13543898	9.6	12
tt13545712	6.6	56
tt13550170	4.9	118
tt13556836	6.9	9
tt13557082	8.6	1795
tt13557828	6.7	226
tt13558022	7.3	58
tt13560048	6.1	63
tt13560574	6.6	56363
tt13563382	6.9	12
tt13567176	7.7	82
tt13578540	6.0	6
tt13580706	6.5	45
tt13582682	9.3	525
tt13582950	7.3	7
tt13586584	6.2	9
tt13588604	7.2	5
tt13588944	8.5	85
tt13593766	4.6	64
tt13599178	8.7	648
tt13603190	7.2	20
tt13610158	8.2	8
tt13610562	4.7	22650
tt13612932	5.3	35
tt13613128	2.6	306
tt13615030	5.4	36
tt13617378	6.1	106
tt13618714	6.1	76
tt13623916	7.4	1974
tt13626200	5.3	335
tt13629708	8.8	9
tt13634480	4.3	12954
tt13635908	7.6	1033
tt13639204	6.2	272
tt13640946	7.9	952
tt13642540	4.2	29
tt13645322	4.8	1699
tt13647256	4.8	119
tt13648270	6.0	1604
tt13648856	7.3	19
tt13649746	8.0	5
tt13650600	6.1	6368
tt13654122	6.8	324
tt13654146	6.9	619
tt13660266	8.5	39
tt13660916	6.5	94
tt13667044	5.7	51
tt13667522	7.2	6
tt13678280	6.0	6
tt13680520	3.8	1407
tt13684082	7.8	233
tt13698942	7.4	24
tt13702796	6.5	100
tt13715108	8.6	14
tt13721828	6.2	1622
tt13729978	7.1	110
tt13730062	8.2	5
tt13740078	6.6	225
tt13743198	7.3	7
tt13751370	8.9	78
tt13757762	6.6	8
tt13761148	6.9	923
tt13778976	6.2	24
tt13793230	7.0	5808
tt13797216	3.7	1704
tt13800572	6.9	15
tt13803064	6.5	24
tt13814180	5.2	45
tt13815702	4.6	127
tt13817770	6.5	394
tt13822738	5.7	6119
tt13825336	6.3	3395
tt13831544	4.0	679
tt13831584	8.1	20
tt13834986	8.6	46
tt13835524	7.1	124
tt13841850	6.1	24281
tt13845652	7.8	397
tt13845660	7.8	285
tt13846402	7.1	418
tt13848274	4.7	9
tt13863702	8.6	5
tt13872244	4.8	613
tt13872380	6.0	29
tt13873302	6.5	20802
tt13873674	7.6	10
tt13884444	8.1	28
tt13887082	6.5	43
tt13891468	8.6	11
tt13892842	6.0	198
tt13893190	3.5	1748
tt13895146	7.1	14
tt13899926	8.4	53
tt13913068	6.4	1271
tt13913326	8.0	937
tt13916124	8.0	71
tt13918550	4.3	1351
tt13919696	7.3	3996
tt13919802	7.1	20355
tt13919958	7.2	58
tt13923216	6.1	67
tt13924926	3.8	540
tt13927000	7.2	11
tt13937232	6.3	7
tt13938818	7.2	21
tt13942896	3.5	387
tt13946626	8.5	24
tt13946908	5.0	160
tt13957024	4.5	78
tt13960254	7.3	55
tt13961988	8.5	20
tt13967784	7.9	12
tt13968380	5.5	50
tt13968794	5.7	326
tt13973198	7.3	61
tt13973362	3.3	112
tt13977864	7.6	6
tt13978306	4.1	11823
tt13978628	5.3	299
tt13978658	7.0	4303
tt13985310	6.7	6
tt13986278	8.7	20
tt13989030	5.2	8912
tt13989278	5.4	53
tt13990248	8.8	190
tt13991504	5.3	60
tt13992922	9.1	49
tt13998770	8.5	13
tt14002046	7.7	11046
tt14013304	6.5	87
tt14014068	5.5	2230
tt14015296	9.6	23
tt14016830	8.6	389
tt14024906	5.9	13
tt14029064	7.3	21
tt14031314	6.0	230
tt14032150	6.9	27
tt14033476	6.0	18
tt14034614	6.8	314
tt14036602	5.7	398
tt14039086	5.2	511
tt14039346	5.1	272
tt14039616	5.6	656
tt14042066	4.9	88
tt14043966	5.8	4668
tt14045766	6.2	350
tt14056670	7.8	735
tt14060094	4.7	13998
tt14060232	5.1	3802
tt14060532	4.7	62
tt14064072	6.1	272
tt14064326	7.6	5
tt14069192	6.0	98
tt14070824	7.9	14
tt14072910	3.3	222
tt14073780	5.6	108
tt14083308	2.3	259
tt14083716	5.9	9
tt14090476	9.2	2146
tt14096132	3.4	89
tt14097180	9.3	27
tt14100830	3.6	202
tt14103412	6.6	9
tt14104600	7.1	80
tt14107554	7.3	21526
tt14109994	5.7	858
tt14112080	4.4	464
tt14113574	7.0	26
tt14114802	7.1	29124
tt14115150	5.4	94
tt14118046	5.5	715
tt14125262	3.4	103
tt14128670	6.3	27935
tt14131240	6.8	26
tt14134154	4.2	128
tt14134730	5.2	144
tt14134762	5.2	78
tt14135822	9.3	27
tt14137346	8.5	269
tt14137710	8.1	73
tt14144834	6.9	33
tt14145004	7.8	11
tt14145426	7.0	8398
tt14146670	9.4	11
tt14153420	5.3	163
tt14153448	7.2	24
tt14157332	4.5	38
tt14158346	3.8	309
tt14158554	4.4	6393
tt14162418	8.4	31
tt14164148	7.8	7
tt14168394	3.8	1474
tt14169296	4.8	19
tt14174168	3.7	1696
tt14174940	4.5	20638
tt14181328	7.6	23
tt14186678	4.7	143
tt14186698	7.1	12
tt14195192	6.2	2472
tt14200420	4.8	107
tt14205026	7.0	53
tt14209560	6.4	8619
tt14209750	5.8	215
tt14210486	5.0	17
tt14210720	7.0	13
tt14210824	6.3	61
tt14210958	6.8	22
tt14212090	5.5	31
tt14213248	7.2	22
tt14215186	8.1	11
tt14227972	6.4	437
tt14228078	6.6	178
tt14230846	6.1	856
tt14242578	2.8	173
tt14242974	5.8	28
tt14245568	6.0	154
tt14247286	6.3	3151
tt14252948	8.2	7
tt14253846	6.9	1543
tt14257960	5.0	67
tt14260142	3.2	85
tt14263098	4.5	372
tt14263856	3.9	3177
tt14265504	8.4	31
tt14265768	6.5	54
tt14272430	7.8	13
tt14275050	6.0	38
tt14280366	6.1	180
tt14288636	5.3	40
tt14300504	6.0	30
tt14300518	7.8	543
tt14301252	5.3	1714
tt14305738	8.4	64
tt14317880	7.1	849
tt14321668	7.5	1339
tt14323080	4.5	24
tt14323902	6.5	22
tt14325118	8.9	1301
tt14326062	6.6	18
tt14326086	8.1	15
tt14336174	6.4	367
tt14341802	6.6	94
tt14342906	2.8	141
tt14349032	6.0	4301
tt14349100	7.1	103
tt14349120	6.1	103
tt14357492	6.3	24
tt14361892	8.0	34
tt14364238	7.9	17
tt14369276	6.4	3256
tt14369286	4.8	797
tt14369296	4.8	1471
tt14371244	6.0	76
tt14375488	4.4	70
tt14376344	7.4	12145
tt14389674	3.0	13
tt14389844	4.7	149
tt14390092	6.2	105
tt14390548	8.0	9
tt14394620	4.7	308
tt14396096	5.5	162
tt14397058	8.5	24
tt14404596	5.7	2477
tt14404954	6.0	71
tt14406438	8.3	7
tt14412366	3.5	3785
tt14412446	6.1	1332
tt14431498	7.3	8
tt14432822	4.9	25
tt14433712	5.0	443
tt14435560	5.4	27
tt14439776	8.8	7
tt14439896	6.4	10923
tt14441788	6.2	98
tt14454100	5.2	10
tt14461690	4.4	2812
tt14463484	5.4	9295
tt14465170	5.8	10
tt14465894	5.8	4243
tt14468904	3.8	201
tt14469194	5.3	195
tt14469318	8.9	13
tt14469460	5.4	26
tt14471774	5.4	19
tt14479746	6.0	4886
tt14486678	5.2	3814
tt14488200	6.4	33
tt14488434	5.1	102
tt14488772	7.4	2352
tt14490594	5.2	44
tt14495388	6.1	593
tt14502344	2.9	238
tt14506528	6.1	5565
tt14509614	5.6	234
tt14523164	6.2	9
tt14533820	3.2	289
tt14534796	6.2	30
tt14540324	8.0	7
tt14540892	6.7	1734
tt14542254	6.3	58
tt14544678	6.5	38
tt14549420	8.2	25
tt14549466	5.9	15892
tt14550172	4.5	15
tt14550642	5.2	4642
tt14552832	9.7	61
tt14555908	5.3	186
tt14556112	6.2	114
tt14556190	3.1	94
tt14557188	7.3	38
tt14557302	6.6	118
tt14566964	8.9	8
tt14569490	4.1	431
tt14573918	5.9	64
tt14577022	8.5	132
tt14577304	2.9	555
tt14581084	6.7	65
tt14584284	4.9	180
tt14590650	4.7	92
tt14590886	6.4	32
tt14591028	5.4	172
tt14591594	4.8	576
tt14592064	6.0	17938
tt14592998	5.6	363
tt14596320	6.1	55
tt14597532	9.8	7
tt14597862	6.0	24
tt14598638	5.6	602
tt14598840	6.0	218
tt14598876	6.7	21
tt14604744	7.7	65
tt14614892	7.0	1156
tt14617536	8.5	14
tt14617606	6.9	59
tt14619154	6.9	30
tt14620048	6.8	28
tt14622542	4.1	139
tt14622802	5.6	263
tt14628220	8.9	15
tt14631142	9.0	36
tt14637756	6.8	2075
tt14637796	8.2	66
tt14638844	8.0	14
tt14639702	4.6	175
tt14641542	7.0	139
tt1464335	6.4	155861
tt14644048	5.7	13
tt14657380	6.3	255
tt14657412	9.4	5
tt14661252	4.5	503
tt14662556	9.8	5
tt14668044	7.1	8
tt14668358	2.1	156
tt14670172	7.0	5
tt14670276	7.5	1050
tt14673378	6.4	30
tt14678156	7.6	54
tt14679114	6.5	57
tt14683284	7.1	78
tt14686544	4.4	3387
tt14690596	7.6	24
tt14690746	9.0	980
tt14694956	5.6	174
tt14696284	6.2	2478
tt14715444	4.2	103
tt14715848	8.4	1532
tt14716556	6.6	8
tt14718126	6.1	57
tt14719838	7.8	2031
tt14722516	6.3	20
tt14725622	6.8	22
tt14726510	4.6	199
tt14728278	8.7	643
tt14749018	5.8	52
tt14755038	7.7	441
tt14766048	3.0	160
tt14766444	4.7	134
tt14766636	6.1	80
tt14766956	6.5	1780
tt14767926	7.5	21
tt14771622	5.0	135
tt14774434	6.9	927
tt14780124	4.1	28
tt14781302	9.4	100
tt14783042	6.9	49
tt14783562	6.0	25
tt14787874	8.8	1121
tt14793714	5.9	23
tt14799960	4.0	204
tt14802816	9.4	37
tt14803002	3.0	7
tt14803898	8.2	14
tt14806338	5.3	299
tt14806926	8.1	34
tt14807346	4.5	27
tt14809462	6.2	73
tt14813966	5.6	3719
tt14814040	6.0	4948
tt14817272	5.6	22950
tt14823642	6.9	25
tt14832552	7.2	5
tt14834556	6.3	18
tt14838060	6.3	17
tt14845950	2.8	82
tt14847302	6.0	16
tt14849038	3.7	888
tt14850514	4.6	71
tt14854294	8.4	47
tt14856628	5.3	124
tt14859416	7.7	94
tt14859592	6.0	42
tt14860210	5.1	32
tt14866710	4.8	1679
tt14867294	6.5	28
tt14867318	4.7	497
tt14869850	8.4	23
tt14870640	3.9	675
tt14870944	7.4	9
tt14871354	6.4	5
tt14875116	7.1	5894
tt14878070	7.1	47
tt14878082	5.4	7
tt14883904	3.4	332
tt14883936	7.2	24
tt14888106	7.0	183
tt14888342	7.7	90
tt14891922	6.6	137
tt14895716	6.7	147
tt14898794	5.6	2749
tt14903018	6.6	119
tt14912006	2.6	383
tt14915532	9.4	18
tt14915600	8.7	34
tt14915904	3.0	32
tt14921402	4.6	145
tt14921570	7.0	59
tt14922432	7.8	18
tt14923008	5.0	2936
tt14926354	6.6	10
tt14926864	3.7	238
tt14927880	7.3	66
tt14929400	6.1	28
tt14934060	3.7	469
tt14935038	4.9	156
tt14935966	6.8	124
tt14939308	4.4	126
tt14942362	6.9	162
tt14947744	6.8	15
tt14949656	5.7	9
tt14960570	5.3	265
tt14960854	5.9	27
tt14960976	5.7	137
tt14962428	5.4	56
tt14967752	7.5	13
tt14975646	6.9	7
tt14976386	6.8	113
tt14981626	6.4	25
tt14981646	7.9	70
tt14986012	7.0	3372
tt14986224	8.1	2723
tt14986920	5.2	42
tt14990030	3.6	141
tt14991492	6.8	47
tt14992922	7.1	62317
tt14996298	9.0	2085
tt14998318	5.6	19
tt14999738	6.7	733
tt15000578	6.6	270
tt15005796	4.9	61
tt15006566	7.5	420
tt15006754	6.9	15
tt15007046	4.5	1089
tt1500916	10.0	11
tt15010292	5.7	802
tt15017554	4.8	410
tt15018474	7.8	97
tt15022446	7.2	16
tt15028676	6.3	112
tt15028848	5.5	445
tt15033192	5.7	21699
