tconst	averageRating	numVotes
tt12655436	5.8	208
tt12661008	6.1	12
tt12663250	6.2	3211
tt12663772	6.6	404
tt12664152	5.6	12
tt12671622	4.0	7
tt12676006	5.5	4189
tt12684068	3.0	290
tt12689248	3.2	1012
tt12691830	7.3	173
tt12698684	5.4	40
tt12708382	4.9	547
tt12717354	6.6	422
tt12731104	8.9	25
tt12735282	4.0	1173
tt12740018	7.7	11
tt12744088	7.8	29
tt12747222	7.2	130
tt12749438	8.5	104
tt12752498	7.4	18
tt12754776	4.7	110
tt12759100	7.9	5511
tt12762096	8.0	34
tt12762788	8.8	21
tt12763406	6.2	5
tt12764628	4.4	824
tt12769412	7.4	132
tt12773826	4.2	189
tt12774526	3.7	537
tt12777234	4.0	28
tt12778140	5.7	6
tt12783826	8.2	13
tt12788488	7.0	69
tt12790908	3.3	249
tt12794338	5.9	2035
tt12794950	8.9	10
tt12796444	6.7	202
tt12805704	4.5	542
tt12805870	8.5	35
tt12810902	3.1	132
tt12819094	6.2	121
tt12822708	8.1	261
tt12825466	7.7	21
tt12826598	7.8	10
tt12836378	7.9	11
tt12837582	4.2	68
tt12845544	6.5	55
tt12847680	5.5	319
tt12850216	8.0	20
tt12857724	4.2	8
tt12860926	6.6	168
tt12866158	5.8	37
tt12878838	6.0	9064
tt12879632	6.1	2600
tt12885338	8.4	359
tt12885670	5.0	611
tt12890644	8.2	19
tt12899886	8.3	2640
tt12907932	2.5	194
tt12908508	8.4	1633
tt12909482	9.3	293
tt12915238	8.8	67
tt12915842	6.8	1253
tt12919778	7.0	6
tt12932620	9.0	5
tt12935690	5.7	41
tt12938112	4.2	13
tt12939582	8.7	6
tt12951176	8.6	11
tt12953548	6.4	1534
tt12953604	6.2	30
tt12953750	7.4	1086
tt12961740	7.0	20
tt12969084	4.3	201
tt12971802	7.8	2220
tt12973010	3.4	253
tt12973910	6.7	10
tt12976084	7.0	26
tt12979626	7.6	16
tt12981538	7.9	9
tt12985010	3.3	182
tt12985342	7.2	5
tt12988350	5.1	48
tt12992082	5.3	98
tt12992162	7.2	204
tt12993004	6.7	17
tt12996154	2.5	16872
tt12998016	4.2	338
tt13010364	7.5	11
tt13011910	8.7	9
tt13016428	6.1	63
tt13018574	6.8	2996
tt13021136	9.0	14
tt13022984	8.7	8777
tt13023464	6.5	119
tt13026738	5.0	1302
tt13027676	7.5	105
tt13028258	7.7	21451
tt13032878	6.3	15
tt13033310	8.5	6
tt13034338	9.2	465
tt13039148	5.6	639
tt13042440	7.6	417
tt13044858	8.4	14
tt13049968	6.6	7
tt13051810	6.9	13
tt13056052	7.1	2339
tt13058104	6.8	130
tt13058146	6.3	90
tt13060184	3.6	408
tt13062628	5.9	488
tt13067022	7.1	62
tt13067220	3.0	5
tt13068648	8.2	10
tt13070038	4.2	157
tt13073690	1.9	8
tt13074728	8.9	16
tt13075042	6.8	1707
tt13076182	3.1	65
tt13086492	6.7	97
tt13086670	6.9	78
tt13094586	4.1	359
tt13097606	8.7	63
tt13099434	9.9	20
tt13106182	5.3	31
tt13107800	6.8	299
tt13112698	4.1	213
tt13117446	4.4	2010
tt13130760	8.4	6153
tt13130838	1.7	14
tt13130926	8.9	17
tt13134894	5.3	39
tt13135756	3.1	44
tt13144110	6.6	191
tt13145534	6.7	850
tt13146230	5.7	13
tt13146488	8.3	101424
tt13149036	5.5	163
tt13149356	6.0	11
tt13152186	4.0	217
tt13153470	6.3	47
tt13153494	8.2	11
tt13153678	9.5	89
tt13156334	2.1	197
tt13156466	3.4	200
tt13156582	6.3	7
tt13157970	3.5	1898
tt13159840	4.4	7
tt13161934	8.9	16
tt13167612	6.4	74
tt13173736	4.0	310
tt13175482	6.5	43
tt13180664	4.7	15
tt13186264	7.3	1744
tt13190882	6.9	192
tt13195218	5.7	395
tt13197812	8.5	720
tt13205670	4.1	313
tt13206784	7.1	457
tt13207720	3.9	10
tt13210188	6.3	655
tt13211846	7.1	21
tt13212246	3.3	17
tt13223570	6.7	3954
tt13224254	9.1	148
tt13224490	7.5	74
tt13229946	5.7	454
tt13235822	4.6	5100
tt13237410	3.6	10
tt13238304	6.7	11633
tt13241608	10.0	9
tt13242318	8.4	12
tt13245502	7.2	2419
tt13249596	5.9	7545
tt13259610	5.8	52
tt13260630	7.3	69
tt13260780	6.6	16
tt13261944	4.9	150
tt13262202	6.8	26
tt13263282	5.1	84
tt13265204	8.0	404
tt13269868	6.5	46
tt13270424	6.7	1987
tt13275560	7.6	38
tt13276352	5.7	6314
tt13276438	9.3	10
tt13276440	7.6	43
tt13283466	7.2	169
tt13288048	6.7	52
tt13295004	6.8	90
tt13298522	5.5	10
tt13299052	5.4	3489
tt13299820	5.6	50
tt13302660	4.5	534
tt13303478	5.9	245
tt13304556	7.5	126
tt13308110	5.7	374
tt13308276	7.1	1009
tt13308316	6.4	229
tt13308864	9.0	13
tt13311710	5.1	23
tt13312144	7.3	10
tt13315156	6.3	24412
tt13315664	7.2	1355
tt13316790	6.1	1172
tt13317320	6.5	672
tt13317454	6.1	5992
tt13317478	7.1	5100
tt13317508	7.0	7556
tt13318084	4.2	61
tt13320622	6.1	86401
tt13322796	4.8	5
tt13322978	5.6	94
tt13323004	5.6	2251
tt13323566	6.3	3459
tt13328796	8.5	25
tt13328800	7.3	467
tt13329488	7.0	155
tt13330168	6.5	69
tt13332268	7.1	375
tt13334870	6.6	2162
tt13334974	5.9	33
tt13342558	2.8	155
tt13345930	8.2	13
tt13347018	2.2	126
tt13349280	5.9	704
tt13349678	5.4	12
tt13349892	7.4	39
tt13350066	6.2	347
tt13350858	4.3	390
tt13351614	6.4	588
tt13352968	7.2	10303
tt13353370	7.9	1334
tt13356020	7.8	13
tt13356758	6.0	41
tt13357234	7.1	789
tt13357236	6.1	129
tt13358054	5.8	332
tt13360908	6.2	6
tt13361448	7.4	13357
tt13361814	5.5	91
tt13362890	4.1	818
tt13364468	6.2	10607
tt13365348	7.3	46457
tt13368192	5.8	18
tt13371942	6.5	148
